id,name,description,price,imageUrl,rating,category
10061502,2022 Formula 500 Super Sport Crossover,This high-quality 2022 Formula 500 Super Sport Crossover (Item Code: 10061502) is a great addition to your collection. Features premium materials and classic design.,1550000.0,https://images.boatsgroup.com/images/1/73/53/8727353_20230604114851268_1_XLARGE.jpg,4.2,Furniture
10140208,2021 Contender 44 ST,This high-quality 2021 Contender 44 ST (Item Code: 10140208) is a great addition to your collection. Features premium materials and classic design.,698000.0,https://images.boatsgroup.com/images/1/2/8/2021-contender-44-st-power-10140208-20260528123404961-1.jpg,4.3,Furniture
9908314,2019 Formula 430 Super Sport Crossover,This high-quality 2019 Formula 430 Super Sport Crossover (Item Code: 9908314) is a great addition to your collection. Features premium materials and classic design.,689000.0,https://images.boatsgroup.com/images/1/83/14/2019-formula-430-super-sport-crossover-power-9908314-20250813040507682-3.jpg,4.4,Furniture
9931059,2022 Freeman 34VH,This high-quality 2022 Freeman 34VH (Item Code: 9931059) is a great addition to your collection. Features premium materials and classic design.,498900.0,https://images.boatsgroup.com/images/1/10/59/2022-freeman-34vh-power-9931059-20250903130128548-3.jpg,4.5,Furniture
10113639,2019 Custom Carolina Custom Express,This high-quality 2019 Custom Carolina Custom Express (Item Code: 10113639) is a great addition to your collection. Features premium materials and classic design.,349000.0,https://images.boatsgroup.com/images/1/4/81/2019-custom-carolina-custom-express-power-9780481-20250802144610757-0.jpg,4.6,Furniture
10211209,2022 Beneteau Antares 9,This high-quality 2022 Beneteau Antares 9 (Item Code: 10211209) is a great addition to your collection. Features premium materials and classic design.,209000.0,https://images.boatsgroup.com/images/1/12/9/2022-beneteau-antares-9-power-10211209-20260607065110190-0.jpg,4.7,Furniture
10080049,2022 Pursuit DC 266 Dual Console,This high-quality 2022 Pursuit DC 266 Dual Console (Item Code: 10080049) is a great addition to your collection. Features premium materials and classic design.,184800.0,https://images.boatsgroup.com/images/1/0/49/2022-pursuit-dc-266-dual-console-power-10080049-20260211063424875-1.jpg,4.8,Furniture
10059811,2021 Cobia 320 Center Console,This high-quality 2021 Cobia 320 Center Console (Item Code: 10059811) is a great addition to your collection. Features premium materials and classic design.,169000.0,https://images.boatsgroup.com/images/1/98/11/2021-cobia-320-center-console-power-10059811-20260122064351995-4.jpg,4.9,Furniture
10185204,2018 Grady-White Freedom 285,This high-quality 2018 Grady-White Freedom 285 (Item Code: 10185204) is a great addition to your collection. Features premium materials and classic design.,160000.0,https://images.boatsgroup.com/images/1/52/4/2018-grady-white-freedom-285-power-10185204-20260515111214646-1.jpg,4.2,Furniture
10083794,2022 Tidewater 272 CC Adventure,This high-quality 2022 Tidewater 272 CC Adventure (Item Code: 10083794) is a great addition to your collection. Features premium materials and classic design.,142500.0,https://images.boatsgroup.com/images/1/37/94/2022-tidewater-272-cc-adventure-power-10083794-20260215113333956-2.jpg,4.3,Furniture
